identifier,data_index,monotonic_sec,approx_realtime_sec,message_timestamp,brick_voltage[0],brick_voltage[1],brick_voltage[2],brick_voltage[3],brick_voltage[4],brick_voltage[5],brick_voltage[6],brick_voltage[7],brick_voltage[8],brick_voltage[9],brick_voltage[10],brick_voltage[11],brick_voltage[12],brick_voltage[13],brick_voltage_raw[0],brick_voltage_raw[1],brick_voltage_raw[2],brick_voltage_raw[3],brick_voltage_raw[4],brick_voltage_raw[5],brick_voltage_raw[6],brick_voltage_raw[7],brick_voltage_raw[8],brick_voltage_raw[9],brick_voltage_raw[10],brick_voltage_raw[11],brick_voltage_raw[12],brick_voltage_raw[13],brick_voltage_filtered[0],brick_voltage_filtered[1],brick_voltage_filtered[2],brick_voltage_filtered[3],brick_voltage_filtered[4],brick_voltage_filtered[5],brick_voltage_filtered[6],brick_voltage_filtered[7],brick_voltage_filtered[8],brick_voltage_filtered[9],brick_voltage_filtered[10],brick_voltage_filtered[11],brick_voltage_filtered[12],brick_voltage_filtered[13],pack_voltage,pack_voltage_raw,pack_voltage_filtered,pack_current,temperature[0],temperature[1],temperature[2],temperature[3],temperature[4],temperature[5],temperature[6],pack_temperature[0],pack_temperature[1],pack_temperature[2],pack_temperature[3],pack_temperature[4],pack_temperature[5],shunt_temperature,accumulated_charge,brick_balancing_active_bitfield,hw_uv_brick_bitfield,hw_uv_vsum,hw_uv_vbatt_warning,hw_uv_vbatt_critical,timestamp,current,current_counter
/shunt.status,0,1987698.58352,1717095914.8491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1717095936.0,0.0,1256.0
/shunt.status,3,1987698.62429,1717095914.88988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1717095936.0,-0.0040000001899898,1256.0
/shunt.status,1,1987698.62429,1717095914.88988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1717095936.0,0.0,1256.0
/shunt.status,4,1987698.63322,1717095914.89881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1717095936.0,-0.0040000001899898,1256.0
/shunt.status,5,1987698.63714,1717095914.90273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1717095936.0,-0.0040000001899898,1256.0
/shunt.status,6,1987698.65687,1717095914.92246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1717095936.0,-0.0040000001899898,1256.0
/battery_monitor.zip_battery_telemetry,7,1987698.65687,1717095914.92246,,3.5242221355438232,3.524578094482422,3.5242221355438232,3.5246670246124268,3.523688077926636,3.524845123291016,3.524200439453125,3.522773504257202,3.523154020309448,3.523865938186645,3.524399995803833,3.523599147796631,3.5241329669952397,3.523955106735229,3.5242221355438232,3.524578094482422,3.5242221355438232,3.5246670246124268,3.523688077926636,3.524845123291016,3.5242221355438232,3.5227980613708496,3.523154020309448,3.523865938186645,3.524399995803833,3.523599147796631,3.5241329669952397,3.523955106735229,3.5240514278411865,3.524327754974365,3.5245165824890137,3.524827718734741,3.5234835147857666,3.5248234272003174,3.523877620697021,3.5229170322418213,3.523476839065552,3.5234527587890625,3.5240750312805176,3.5235531330108643,3.5238916873931885,3.523381471633911,49.33634948730469,49.33634948730469,49.33468627929688,0.2393999993801117,22.58951568603516,22.76345634460449,22.9953556060791,22.852760314941406,23.545061111450195,22.690654754638672,23.26899719238281,22.58951568603516,22.76345634460449,22.852760314941406,23.545061111450195,22.690654754638672,23.26899719238281,22.9953556060791,0.0507638193666935,,0.0,False,False,False,,,
/shunt.status,11,1987698.69293,1717095914.95852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1717095936.0,0.0040000001899898,1256.0
/shunt.status,12,1987698.70351,1717095914.9691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1717095936.0,0.0040000001899898,1256.0
/shunt.status,14,1987698.71345,1717095914.97904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1717095936.0,0.0010000000474974,1256.0
